Country,Code,Year,"Food supply (kcal/capita/day) (FAO, 2020)"
Panama,PAN,2016,2800
Panama,PAN,2017,2839
Paraguay,PRY,2015,2719
Paraguay,PRY,2016,2687
Paraguay,PRY,2017,2740
Peru,PER,2015,2783
Peru,PER,2016,2743
Peru,PER,2017,2769
Philippines,PHL,2015,2614
Philippines,PHL,2016,2627
Philippines,PHL,2017,2674
Poland,POL,2015,3414
Poland,POL,2016,3482
Poland,POL,2017,3525
Portugal,PRT,2015,3485
Portugal,PRT,2016,3433
Portugal,PRT,2017,3492
Romania,ROU,2015,3469
Romania,ROU,2016,3507
Romania,ROU,2017,3525
Russia,RUS,2015,3359
Russia,RUS,2016,3354
Russia,RUS,2017,3362
Rwanda,RWA,2015,2242
Rwanda,RWA,2016,2252
Rwanda,RWA,2017,2215
Saint Kitts and Nevis,KNA,2015,2444
Saint Kitts and Nevis,KNA,2016,2461
Saint Kitts and Nevis,KNA,2017,2515
Saint Lucia,LCA,2015,2597
Saint Lucia,LCA,2016,2606
Saint Lucia,LCA,2017,2661
Saint Vincent and the Grenadines,VCT,2015,2962
Saint Vincent and the Grenadines,VCT,2016,2907
Saint Vincent and the Grenadines,VCT,2017,2960
Samoa,WSM,2015,2908
Samoa,WSM,2016,2974
Samoa,WSM,2017,2974
Sao Tome and Principe,STP,2015,2324
Sao Tome and Principe,STP,2016,2413
Sao Tome and Principe,STP,2017,2418
Saudi Arabia,SAU,2015,3208
Saudi Arabia,SAU,2016,3205
Saudi Arabia,SAU,2017,3194
Senegal,SEN,2015,2490
Senegal,SEN,2016,2589
Senegal,SEN,2017,2612
Serbia,SRB,2015,2820
Serbia,SRB,2016,2803
Serbia,SRB,2017,2805
Sierra Leone,SLE,2015,2447
Sierra Leone,SLE,2016,2450
Sierra Leone,SLE,2017,2449
Slovakia,SVK,2015,2688
Slovakia,SVK,2016,2829
Slovakia,SVK,2017,2769
Slovenia,SVN,2015,3169
Slovenia,SVN,2016,3164
Slovenia,SVN,2017,3195
Solomon Islands,SLB,2015,2380
Solomon Islands,SLB,2016,2400
Solomon Islands,SLB,2017,2411
South Africa,ZAF,2015,2974
South Africa,ZAF,2016,2967
South Africa,ZAF,2017,2994
South Korea,KOR,2015,3340
South Korea,KOR,2016,3335
South Korea,KOR,2017,3369
Spain,ESP,2015,3210
Spain,ESP,2016,3276
Spain,ESP,2017,3270
Sri Lanka,LKA,2015,2589
