Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Food supply (kcal/capita/day),"Crude birth rate (births per 1,000 population)",Deaths - Unsafe water source per 100k people,Deaths - Conflict and terrorism,,,,,,,,,
Burundi,Sub-Saharan Africa,2015,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,,40.883,72.73613825,6.429706949,,,,,,,,,
Turkmenistan,Central and Eastern Europe,2015,70,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,2869,26.005,0.968479134,0.067554637,,,,,,,,,
Mauritius,Sub-Saharan Africa,2015,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,3066,10.555,0.422262825,0,,,,,,,,,
Hong Kong,Eastern Asia,2015,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,3308,10.917,,,,,,,,,,,
Estonia,Central and Eastern Europe,2015,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,3244,10.54,0.041029665,0,,,,,,,,,
Indonesia,Southeastern Asia,2015,74,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,1.86399,2836,19.165,34.03906434,0.178001858,,,,,,,,,
Vietnam,Southeastern Asia,2015,75,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,2900,17.259,2.086122886,0,,,,,,,,,
Turkey,Middle East and Northern Africa,2015,76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,3553,16.718,0.497809717,1.958547144,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,2015,77,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,2780,27.314,1.166638267,0.084497177,,,,,,,,,
Nigeria,Sub-Saharan Africa,2015,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,2522,39.359,66.96053503,0,,,,,,,,,
Burundi,Sub-Saharan Africa,2016,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,,40.278,71.25134851,3.468701878,,,,,,,Trust (Government Corruption),Generosity,Dystopia Residual
Azerbaijan,Central and Eastern Europe,2015,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,3074,18.525,1.176208125,0.631484989,,,,,,,,,
Pakistan,Southern Asia,2015,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,2318,29.124,41.42580486,1.872774198,,,,,,,,,
Jordan,Middle East and Northern Africa,2015,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,2727,24.274,0.383379797,0.081860738,,,,,,,,,
Montenegro,Central and Eastern Europe,2015,82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,3225,11.837,0.055286744,0,,,,,,,,,
China,Eastern Asia,2015,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,3184,12.408,0.409909854,0.024055793,,,,,,,,,
Zambia,Sub-Saharan Africa,2015,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,2057,37.95,64.97920583,0.043074557,,,,,,,,,
Romania,Central and Eastern Europe,2015,86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,3469,9.835,0.272993726,0.005052972,,,,,,,,,
Serbia,Central and Eastern Europe,2015,87,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2.025,2820,9.626,0.167094952,0,,,,,,,,,
Portugal,Western Europe,2015,88,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,3485,8.083,0.069729097,0,,,,,,,,,
Latvia,Central and Eastern Europe,2015,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,1.62215,3126,10.502,0.069485473,0,,,,,,,,,
Philippines,Southeastern Asia,2015,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,2614,22.273,7.073858069,1.041430021,,,,,,,,,
